﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","149,308,337.250","16,843.490","0.000","121,333.275","6,355.000"
"10007849","Abertay University","9,993,825.500","2,975.520","0.000","14,585.000",""
"10007856","Aberystwyth University","44,262,254.200","73,921.000","6,858.000","188,898.000","104,942.000"
"10000163","AECC University College","1,799,740.000","0.000","0.000","1,031.000",""
"10000291","Anglia Ruskin University","25,165,749.501","12,963.060","19,485.000","73,307.289","38,970.000"
"10007759","Aston University","30,691,695.000","3,903.994","0.000","196,157.000","27,691.000"
"10007857","Bangor University","35,409,226.898","57,438.180","0.000","141,168.960","31,645.900"
"10000571","Bath Spa University","13,303,423.000","10,962.000","0.000","66,941.200","1,581,075.000"
"10007850","The University of Bath","73,042,430.000","14,167.720","0.000","296,320.000","95,732.000"
"10007152","University of Bedfordshire","20,185,085.000","7,677.520","0.000","44,471.000","140,411.000"
"10005343","Queen's University Belfast","95,226,950.000","22,344.000","0.000","263,623.000",""
"10007760","Birkbeck College","10,434,943.000","0.000","0.000","34,004.000","0.000"
"10007140","Birmingham City University","45,425,364.000","4,858.520","0.000","78,539.000","41,528.000"
"10006840","The University of Birmingham","196,537,338.000","82,400.000","412,000.000","452,841.000","165,636.000"
"10000712","University College Birmingham","13,126,777.000","3,800.000","0.000","85,948.000","0.000"
"10007832","Birmingham Newman University","5,107,592.000","500.000","0.000","13,206.000","95,035.000"
"10007811","Bishop Grosseteste University","1,638,410.000","6,618.880","13,480.000","34,174.000","13,481.000"
"10006841","The University of Bolton","10,593,250.900","2,825.000","0.000","37,489.000","7,601.660"
"10000385","The Arts University Bournemouth","5,385,902.300","4,951.503","0.000","20,823.000","7,400.000"
"10000824","Bournemouth University","17,072,440.000","6,157.340","0.000","45,694.000","1,140,406.000"
"10007785","The University of Bradford","35,749,925.900","5,607.000","1,296,368.000","70,936.000","50,677.000"
"10000886","The University of Brighton","36,424,079.770","14,362.000","0.000","135,618.000","355,612.770"
"10000936","The University College of Osteopathy","1,055,840.000","0.000","0.000","4,012.598","0.000"
"10007786","The University of Bristol","145,646,765.000","54,372.000","0.000","387,771.000","413,862.000"
"10000961","Brunel University London","60,808,322.000","15,000.000","0.000","425,731.000","0.000"
"10000975","Buckinghamshire New University","10,737,072.000","6,482.390","0.000","27,864.000","123,815.000"
"10007788","The University of Cambridge","275,334,595.000","91,467.000","0.000","466,002.000","686,419.000"
"10003324","The Institute of Cancer Research","24,490,066.000","618.090","0.000","25,397.000","30,019.000"
"10001143","Canterbury Christ Church University","22,946,793.176","16,850.690","0.000","126,440.000","55,373.000"
"10007814","Cardiff University","118,715,071.880","36,436.030","0.000","323,210.000","183,399.000"
"10007854","Cardiff Metropolitan University","17,416,309.000","7,819.000","41.000","67,233.000","41,000.000"
"10007141","The University of Central Lancashire","41,546,703.866","24,089.490","0.000","90,260.725","736,350.000"
"10007848","University of Chester","49,613,426.980","45,356.120","0.000","130,870.000","372,380.000"
"10007137","The University of Chichester","11,248,016.646","4,586.490","0.000","58,259.000","35,234.000"
