﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","65,363,415.502","24,719.590","0.000","154,625.111","125,538.730"
"10007849","Abertay University","7,682,480.000","450.000","0.000","9,509.000",""
"10007856","Aberystwyth University","35,699,042.000","39,549.120","0.000","364,580.028","3,023,163.000"
"10000291","Anglia Ruskin University","23,283,236.409","10,528.871","52,809.875","65,676.461","105,619.749"
"10007759","Aston University","32,411,016.900","5,956.300","0.000","52,309.900","117,158.000"
"10007857","Bangor University","31,863,351.969","28,873.155","0.000","110,999.670","134,786.400"
"10000571","Bath Spa University","11,903,880.000","13,006.080","0.000","45,837.000","1,759,398.000"
"10007850","The University of Bath","63,882,927.000","19,526.060","0.000","337,689.380","154,613.000"
"10007152","University of Bedfordshire","12,822,730.000","4,384.000","0.000","14,613.000","128,004.000"
"10005343","Queen's University Belfast","94,813,729.000","12,905.000","0.000","171,939.000","65,310.000"
"10007760","Birkbeck College","10,071,574.300","0.000","0.000","22,667.210","24,000.000"
"10007140","Birmingham City University","31,967,505.000","4,440.000","0.000","64,317.387","69,447.000"
"10006840","The University of Birmingham","201,605,039.000","51,963.000","1,628.000","530,924.000","313,613.000"
"10000712","University College Birmingham","15,913,719.840","29.000","0.000","39,136.188","120,758.000"
"10007811","Bishop Grosseteste University","3,840,043.190","5,491.940","0.000","21,367.120","11,160.300"
"10000385","The Arts University Bournemouth","5,511,863.300","2,452.046","0.000","32,775.000","80,889.000"
"10000824","Bournemouth University","16,660,514.690","1,656.440","0.000","35,116.000","2,055,028.690"
"10007785","The University of Bradford","21,984,335.850","7,327.250","107,520.000","65,056.000","289,084.500"
"10000886","The University of Brighton","32,362,191.520","11,049.650","56,799.000","124,394.000","631,700.680"
"10007786","The University of Bristol","113,076,306.420","33,866.310","0.000","370,294.440","12,264,129.240"
"10000961","Brunel University London","45,925,462.000","11,926.000","0.000","437,068.000","4,657,000.000"
"10000975","Buckinghamshire New University","13,542,663.000","0.000","0.000","56,131.000",""
"10007788","The University of Cambridge","258,580,920.000","93,405.430","0.000","448,158.120","25,024,654.000"
