﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10001282","University of Northumbria at Newcastle","48,384,528.000","8,938.000","0.000","166,351.000","286,220.000"
"10004775","Norwich University of the Arts","3,705,640.000","325.970","0.000","7,896.000",""
"10007154","University of Nottingham","176,302,705.000","69,918.000","0.000","602,996.000","1,986,731.000"
"10004797","The Nottingham Trent University","54,718,460.000","43,617.890","0.000","89,716.910","1,375,504.000"
"10007773","The Open University","28,367,256.000","9,878.100","0.000","27,324.000","182,507.000"
"10004930","Oxford Brookes University","39,032,029.000","10,204.000","0.000","124,172.000","326,579.000"
"10007774","The University of Oxford","223,307,611.670","126,611.000","0.000","301,691.000","316,071.210"
"10007801","University of Plymouth","24,653,718.000","22,680.744","0.000","77,453.000","91,705.000"
"10007155","The University of Portsmouth","31,771,981.969","9,923.070","0.000","98,968.917","43,561.164"
"10005337","Queen Margaret University, Edinburgh","10,550,655.400","1,340.000","0.000","76,652.420","2,161.000"
"10007775","Queen Mary University of London","60,787,821.000","5,260.000","0.000","468,492.970","14,735.000"
"10007802","The University of Reading","48,130,229.000","23,279.000","0.000","107,683.508","828,662.000"
"10005500","Robert Gordon University","25,512,526.632","4,198.220","0.000","45,456.000","32,131.000"
"10005523","Rose Bruford College of Theatre and Performance","2,406,297.000","0.000","0.000","12,408.726","1.000"
"10007778","Royal College of Music","2,967,504.000","0.000","0.000","4,096.000",""
"10007816","The Royal Central School of Speech and Drama","1,890,825.000","0.000","6,063.000","4,694.000","12,126.000"
"10005553","Royal Holloway and Bedford New College","39,360,227.000","14,232.000","0.000","263,933.000","45,655.000"
"10007803","The University of St. Andrews","85,902,949.000","","0.000","273,448.000","313,917.000"
"10007782","St George's, University of London","22,183,237.897","0.000","424,795.464","70,695.000","0.000"
"10008026","St Mary's University College","2,125,748.000","0.000","0.000","4,207.000",""
"10007843","St Mary's University, Twickenham","10,614,538.000","1,384.000","650.000","34,283.000",""
"10007156","The University of Salford","27,495,430.000","6,142.000","0.000","71,175.000","9,999.000"
"10005700","SRUC","","","","",""
"10005790","Sheffield Hallam University","34,072,294.000","5,049.200","0.000","67,500.000","52,280.000"
"10007157","The University of Sheffield","131,731,800.880","30,654.000","43,000.000","418,894.670","2,144,163.000"
"10006022","Solent University","13,133,652.790","5,748.980","0.000","52,239.380",""
"10007158","The University of Southampton","98,152,919.128","41,162.320","0.000","400,873.000",""
"10006299","Staffordshire University","20,735,437.000","10,038.220","0.000","39,305.000","104,292.000"
"10007804","The University of Stirling","46,444,311.350","13,536.000","0.000","153,863.000",""
"10037449","University of St Mark and St John","6,121,545.000","540.000","0.000","77,801.000","337,510.000"
