﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","129,268,164.805","13,547.730","0.000","182,033.000","91,449.000"
"10007849","Abertay University","8,154,968.030","2,550.000","0.000","12,548.000",""
"10007856","Aberystwyth University","39,779,682.300","51,389.260","0.000","223,912.000","12,502.600"
"10000291","Anglia Ruskin University","22,448,143.030","7,490.426","33,997.605","96,526.205","67,995.209"
"10007759","Aston University","26,808,695.000","4,306.000","0.000","71,467.000","58,218.000"
"10007857","Bangor University","33,056,205.555","33,144.600","0.000","118,212.000","67,090.260"
"10000571","Bath Spa University","12,292,643.000","8,714.000","0.000","70,709.000","1,282,423.000"
"10007850","The University of Bath","63,966,189.000","13,885.590","0.000","223,610.255",""
"10007152","University of Bedfordshire","16,390,924.517","3,091.460","0.000","34,170.000","116,990.000"
"10005343","Queen's University Belfast","113,497,540.000","13,509.000","0.000","188,651.000",""
"10007760","Birkbeck College","9,399,708.000","0.000","0.000","19,642.470","0.000"
"10007140","Birmingham City University","38,890,075.000","2,144.000","0.000","60,265.000","73,148.000"
"10007811","Bishop Grosseteste University","4,064,781.680","5,402.500","0.000","14,835.000","17,356.000"
"10000385","The Arts University Bournemouth","4,610,633.230","3,086.059","0.000","11,739.000","11,397.000"
"10000824","Bournemouth University","15,220,576.000","6,525.340","0.000","35,321.000","1,518,328.000"
"10007785","The University of Bradford","29,156,742.080","6,905.200","1,154,254.000","56,551.000","45,000.000"
"10000886","The University of Brighton","30,645,566.274","13,010.210","0.000","93,277.000","491,544.074"
"10007786","The University of Bristol","134,637,393.000","40,663.000","0.000","283,489.000","0.000"
"10000961","Brunel University London","54,487,857.000","13,802.000","0.000","433,039.000","3,936,500.000"
"10000975","Buckinghamshire New University","10,654,016.000","3,470.000","0.000","42,733.000","125,590.000"
"10007788","The University of Cambridge","255,757,794.000","95,920.000","0.000","426,953.000","748,937.000"
"10003324","The Institute of Cancer Research","26,479,040.000","212.820","0.000","46,993.000","22,874.000"
"10007814","Cardiff University","113,871,037.560","27,878.950","0.000","380,883.209","199,483.000"
"10007854","Cardiff Metropolitan University","13,979,894.000","4,489.000","0.000","63,611.000","45,220.000"
"10007141","The University of Central Lancashire","35,204,107.699","19,284.910","0.000","64,139.115","209,013.000"
"10007848","University of Chester","58,311,893.000","31,695.870","0.000","80,240.000","383,254.000"
"10007137","The University of Chichester","10,716,739.600","2,947.150","0.000","53,023.800","43,267.000"
"10001478","City, University of London","26,213,734.000","772.000","0.000","13,833.000","14,250.000"
"10001726","Coventry University","59,332,777.220","19,255.780","0.000","115,741.277","620,714.920"
"10007822","Cranfield University","46,179,044.537","69,218.140","0.000","153,156.000","2,147,908.524"
"10006427","University for the Creative Arts","13,897,208.000","765.680","0.000","55,627.000","41,773.000"
"10007842","University of Cumbria","14,001,525.000","5,759.320","0.000","18,669.000","0.000"
"10001883","De Montfort University","27,035,510.000","3,826.343","0.000","68,213.000","258,368.000"
"10007851","University of Derby","31,551,961.750","7,919.000","0.000","139,723.000","120,036.000"
"10007852","The University of Dundee","80,892,438.000","0.000","","188,609.000","13,000.000"
"10007143","University of Durham","105,135,503.000","33,369.320","0.000","288,260.000","322,193.000"
"10007789","The University of East Anglia","72,494,737.000","25,873.260","82,900.000","226,926.000","162,958.000"
