﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","148,901,899.098","14,672.680","0.000","159,834.000","100,894.700"
"10007849","Abertay University","9,750,212.262","2,800.000","0.000","12,801.000","0.000"
"10007856","Aberystwyth University","44,414,640.000","72,538.830","10,619.000","254,265.000","10,619.000"
"10000163","AECC University College","1,798,017.000","0.000","0.000","3,070.000",""
"10000291","Anglia Ruskin University","26,613,989.569","9,783.998","25,723.500","77,046.429","51,447.000"
"10007759","Aston University","30,044,409.000","3,973.000","0.000","186,437.000","27,722.000"
"10007857","Bangor University","34,206,745.476","54,100.260","0.000","152,108.490",""
"10000571","Bath Spa University","12,546,331.000","10,962.000","0.000","71,658.000","1,559,447.000"
"10007850","The University of Bath","72,853,434.000","18,567.670","0.000","274,017.000","129,321.000"
"10007152","University of Bedfordshire","17,320,384.680","4,792.150","0.000","46,024.000","122,795.610"
"10005343","Queen's University Belfast","96,491,304.000","21,002.000","0.000","315,655.000",""
"10007760","Birkbeck College","9,973,395.710","0.000","0.000","29,464.000","0.000"
"10007140","Birmingham City University","43,065,052.000","3,029.000","0.000","91,027.000","103,789.000"
"10000712","University College Birmingham","14,072,128.900","4,000.000","0.000","95,130.670","0.000"
"10007832","Birmingham Newman University","4,829,309.000","600.000","0.000","14,556.000","122,404.000"
"10007811","Bishop Grosseteste University","4,207,436.690","7,923.110","0.000","34,321.000","16,099.000"
"10006841","The University of Bolton","11,379,618.330","18,232.990","0.000","36,524.000",""
"10000385","The Arts University Bournemouth","5,131,564.470","5,392.453","0.000","20,643.667","12,068.200"
"10000824","Bournemouth University","16,730,949.000","6,319.950","0.000","41,810.000","1,062,798.000"
"10007785","The University of Bradford","30,971,524.000","7,860.430","685,888.000","71,941.000","55,000.000"
"10000886","The University of Brighton","37,073,024.911","13,921.000","0.000","117,054.000","496,218.559"
"10000936","The University College of Osteopathy","1,152,221.000","0.000","0.000","4,289.216","0.000"
"10007786","The University of Bristol","143,786,698.000","56,119.000","0.000","374,342.000","354,246.000"
"10000961","Brunel University London","56,237,856.000","12,000.000","0.000","490,491.000","0.000"
"10000975","Buckinghamshire New University","12,190,338.570","4,222.000","0.000","63,207.000","138,223.000"
"10007788","The University of Cambridge","255,974,754.000","114,063.000","0.000","461,578.000","1,052,776.000"
"10003324","The Institute of Cancer Research","23,414,938.000","624.810","0.000","31,335.000","26,115.000"
"10001143","Canterbury Christ Church University","21,182,277.000","15,436.860","0.000","118,660.000","49,676.000"
"10007814","Cardiff University","116,383,275.946","35,746.620","0.000","367,477.470","199,483.000"
"10007854","Cardiff Metropolitan University","15,952,682.000","8,793.000","39.000","65,394.000","39,296.000"
"10007141","The University of Central Lancashire","42,176,584.252","27,496.950","0.000","84,836.750","411,926.000"
"10007848","University of Chester","55,723,513.000","46,375.810","0.000","82,515.000","354,616.000"
"10007137","The University of Chichester","11,601,371.000","4,373.770","0.000","57,384.000","50,286.000"
"10001478","City, University of London","30,431,166.000","1,196.000","0.000","46,193.000","14,350.000"
"10001653","Conservatoire for Dance and Drama","7,218,083.000","0.000","0.000","14,683.000",""
"10007761","Courtauld Institute of Art","2,128,478.950","0.000","0.000","11,970.185","0.000"
"10001726","Coventry University","62,555,889.650","23,076.290","0.000","97,092.110","358,069.000"
"10007822","Cranfield University","48,094,072.731","87,353.814","0.000","154,979.000","4,139,525.707"
"10006427","University for the Creative Arts","15,338,923.000","1,171.340","0.000","61,204.000","34,390.000"
"10007842","University of Cumbria","18,310,912.000","7,661.550","0.000","36,455.170","0.000"
"10001883","De Montfort University","29,786,200.000","5,071.190","0.000","87,029.720","157,496.000"
"10007851","University of Derby","33,639,524.166","19,909.000","0.000","106,107.000","134,773.585"
"10007852","The University of Dundee","87,197,123.000","0.000","","196,936.000","13,100.000"
"10007143","University of Durham","112,549,136.000","54,161.000","0.000","435,748.000","304,825.000"
"10007789","The University of East Anglia","76,551,832.000","34,122.000","185,400.000","316,698.000","141,338.000"
"10007144","The University of East London","20,022,788.500","2,122.150","6,314.500","110,811.000","105,673.000"
"10007823","Edge Hill University","29,704,979.000","5,475.000","0.000","160,274.000","25,936.000"
"10007772","Edinburgh Napier University","17,498,352.000","12,438.030","0.000","21,701.100","26,837.050"
"10007790","The University of Edinburgh","240,910,447.000","106,271.820","0.000","573,025.000","219,451.000"
"10007791","The University of Essex","46,485,525.000","17,339.970","0.000","195,409.000","105,066.000"
"10007792","The University of Exeter","66,050,408.515","66,110.400","0.000","288,298.580","1,336,204.883"
"10008640","Falmouth University","12,797,835.369","5,642.176","0.000","57,388.420","36,578.089"
