﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","162,173,875.835","16,855.770","0.000","185,329.950","6,936.000"
"10007849","Abertay University","10,734,720.000","3,025.000","0.000","15,001.000","0.000"
"10007856","Aberystwyth University","43,066,612.000","137,000.000","6,931.200","205,811.000","6,931.200"
"10000291","Anglia Ruskin University","26,551,701.284","13,705.229","19,201.350","68,867.939","38,402.700"
"10007759","Aston University","30,483,679.000","6,474.000","0.000","73,041.000","42,766.000"
"10007857","Bangor University","38,550,858.000","68,429.000","0.000","153,403.000","29,684.000"
"10000571","Bath Spa University","12,837,860.000","10,594.000","0.000","48,207.000","907,400.000"
"10007850","The University of Bath","71,726,548.000","21,954.710","0.000","338,886.000","77,839.000"
"10007152","University of Bedfordshire","20,495,573.000","6,802.640","0.000","43,812.000","54,336.000"
"10005343","Queen's University Belfast","97,593,065.000","18,783.000","0.000","299,439.000",""
"10007760","Birkbeck College","10,841,457.000","0.000","0.000","40,815.000","0.000"
"10007140","Birmingham City University","41,287,398.000","4,361.550","0.000","72,340.000","19,722.000"
"10006840","The University of Birmingham","188,255,783.000","108,343.000","1,000.000","546,734.000","50,772.000"
"10000712","University College Birmingham","13,001,500.700","3,800.000","0.000","74,784.000","0.000"
"10007832","Birmingham Newman University","4,273,372.000","250.000","0.000","11,235.000","57,220.000"
"10007811","Bishop Grosseteste University","1,575,247.000","6,555.990","0.000","7,425.000","13,556.500"
"10006841","The University of Bolton","11,163,572.390","2,500.000","0.000","41,480.000","2,417.790"
"10000385","The Arts University Bournemouth","3,760,818.800","4,141.000","0.000","9,111.000","7,400.000"
"10000824","Bournemouth University","17,953,860.230","1,226.780","0.000","81,500.000","1,029,044.000"
"10007785","The University of Bradford","30,898,058.000","6,623.000","743,854.000","62,558.000","62,643.000"
"10000886","The University of Brighton","34,866,224.000","10,731.150","0.000","111,071.800","168,819.000"
"10007786","The University of Bristol","146,299,317.400","59,846.000","0.000","378,218.000","416,081.000"
"10000961","Brunel University London","59,962,373.000","13,341.000","0.000","450,208.000","0.000"
"10000975","Buckinghamshire New University","11,957,125.000","7,803.690","0.000","36,535.190","105,703.000"
"10007788","The University of Cambridge","221,326,292.635","126,648.073","0.000","338,656.371","1,867,298.439"
"10003324","The Institute of Cancer Research","21,406,587.000","717.500","0.000","26,351.000","31,937.000"
"10001143","Canterbury Christ Church University","23,938,758.373","12,438.584","0.000","136,989.000","54,894.000"
