﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","74,548,381.000","10,788.360","0.000","110,600.000","138,136.000"
"10007849","Abertay University","8,286,661.000","1,600.000","0.000","10,746.000","0.000"
"10007856","Aberystwyth University","42,021,875.000","40,314.860","0.000","194,583.000","19,410.000"
"10000291","Anglia Ruskin University","26,552,586.196","6,532.080","29,278.240","72,830.545","58,556.481"
"10007759","Aston University","28,419,318.000","5,168.000","0.000","41,873.000","30,945.000"
"10007857","Bangor University","33,973,409.375","23,563.275","0.000","83,718.510","64,048.000"
"10000571","Bath Spa University","12,363,769.000","12,202.000","0.000","59,108.000","1,500,000.000"
"10007850","The University of Bath","83,473,882.258","17,111.810","0.000","135,866.000","147,288.000"
"10007152","University of Bedfordshire","15,122,662.000","1,789.610","0.000","14,335.000","125,667.000"
"10005343","Queen's University Belfast","105,292,168.000","23,807.000","0.000","600,977.000",""
"10007760","Birkbeck College","9,489,127.000","0.000","0.000","19,642.470","0.000"
"10007140","Birmingham City University","41,763,011.000","3,218.000","0.000","61,777.000","61,294.000"
"10007811","Bishop Grosseteste University","3,860,154.507","1,391.860","0.000","14,991.000","12,228.900"
"10000385","The Arts University Bournemouth","6,136,990.030","3,638.558","0.000","19,860.000","12,309.000"
"10000824","Bournemouth University","17,302,532.000","1,874.990","0.000","26,620.000","1,422,055.000"
"10007785","The University of Bradford","35,561,048.250","6,372.180","708,336.000","66,090.000","40,000.000"
"10000886","The University of Brighton","37,293,461.080","15,427.900","0.000","87,120.000","445,857.000"
"10007786","The University of Bristol","146,924,413.000","35,424.000","0.000","350,011.000","299,912.000"
"10000961","Brunel University London","55,825,252.100","15,666.000","0.000","402,823.348","4,716,500.000"
"10000975","Buckinghamshire New University","12,327,290.000","1,500.000","0.000","52,875.000","131,479.000"
"10007788","The University of Cambridge","278,229,773.000","91,880.000","0.000","424,785.000","720,676.000"
"10003324","The Institute of Cancer Research","26,840,980.000","311.350","0.000","26,279.000","24,272.000"
"10001143","Canterbury Christ Church University","20,942,044.192","11,828.150","0.000","121,033.200",""
"10007814","Cardiff University","118,410,011.840","28,515.760","0.000","324,115.370","199,662.000"
"10007854","Cardiff Metropolitan University","12,671,270.000","223.000","0.000","46,474.000","37,508.000"
"10007141","The University of Central Lancashire","41,225,774.081","19,974.460","0.000","48,965.000","67,721.470"
"10007848","University of Chester","53,109,888.000","20,694.370","0.000","97,260.000","353,820.000"
"10007137","The University of Chichester","11,386,527.385","2,955.700","0.000","49,834.160","43,267.000"
"10001478","City, University of London","29,590,131.000","670.000","0.000","26,050.000",""
"10001726","Coventry University","57,121,590.380","12,347.400","0.000","306,064.450","115,524.000"
"10007822","Cranfield University","50,290,716.992","73,278.080","0.000","153,480.934","2,244,272.128"
"10006427","University for the Creative Arts","14,888,047.000","0.000","0.000","53,889.000","1,381,761.000"
"10007842","University of Cumbria","15,609,624.000","3,258.000","0.000","41,873.000","0.000"
"10001883","De Montfort University","34,484,922.000","4,890.261","0.000","32,303.000","190,278.000"
"10007851","University of Derby","31,986,926.630","14,450.420","0.000","88,879.000","96,056.630"
"10007852","The University of Dundee","93,699,963.000","0.000","","172,000.000","13,000.000"
"10007143","University of Durham","119,277,206.000","25,424.000","0.000","285,659.000","298,521.000"
"10007789","The University of East Anglia","72,627,853.000","15,000.000","49,500.000","200,772.000","252,316.000"
"10007144","The University of East London","25,849,984.250","2,292.180","3,690.000","107,755.000","76,999.600"
"10007772","Edinburgh Napier University","15,255,918.060","8,229.000","0.000","7,472.100","28,024.000"
